grps,n,int,rate,upper_int,upper_rate,lower_int,lower_rate,fe_int,fe_rate,upper_fe_int,upper_fe_rate,lower_fe_int,lower_fe_rate
125,1,274.754634165087,-0.803569355923132,540.358088627297,-0.567721630906454,123.91759946989,-1.0431878909257,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
182,320,255.30528135478,-0.885546601593489,281.037344871649,-0.834624700105835,232.662497842832,-0.932262981751922,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
184,1165,276.60038695262,-0.740878827383464,284.793615747541,-0.704600098216704,270.056236424705,-0.78723933994934,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
185,3968,274.382592774673,-0.814768453658598,279.63779444703,-0.798981438213735,269.669856001405,-0.828978542199803,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
201,5273,437.767301789308,-0.730156765185295,444.153644719758,-0.715062247084435,430.353398694937,-0.748693725184684,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
202,17,413.858589598779,-0.788507524135142,502.388514008499,-0.547497296545911,357.39549901943,-1.02557752088132,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
221,2749,227.680093163872,-0.946855916768292,236.808020754873,-0.917972734997776,220.779137342647,-0.975185916869856,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
222,19,302.683141574304,-0.789041617377878,378.802506883567,-0.571166803475007,243.63753294193,-1.01401457709235,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
224,19,369.580929895613,-0.848375658026868,460.882613194112,-0.683957382816564,299.037751932058,-1.07316783894943,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
225,133,286.292163072621,-0.858821356505272,306.241714051518,-0.766140288654769,261.774047219621,-0.959321305312942,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
226,3,215.945876584526,-0.819845807964258,390.452574094814,-0.582973237946009,109.971348257098,-1.05521422699206,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
241,37,310.467460016778,-0.674265250770894,342.113484402182,-0.516236912384894,285.803248871925,-0.86270758128956,288.340201968644,-0.822725388941676,317.811293934568,-0.785814820479698,261.31512550569,261.31512550569
