YEAR,ECODIV,SPCD,COMMON_NAME,SCIENTIFIC_NAME,FSI,PERC_FSI,FSI_STATUS,FSI_INT,PERC_FSI_INT,PREV_RD,CURR_RD,TPA_RATE,BA_RATE,FSI_VAR,PERC_FSI_VAR,PREV_RD_VAR,CURR_RD_VAR,TPA_RATE_VAR,BA_RATE_VAR,nPlots,N
2018,24,11,Pacific silver fir,Abies amabilis,0.00326813798783748,4.16970506742653,Expand,0.000558166612402135,0.515307656103792,0.0783781570876073,0.110405909368415,-0.00487338728328458,0.0861360098808515,9.21088028198277e-06,7.85066810837465,0.00118815079898564,0.00358961015635441,5.06484854188746e-05,0.000120447272159636,3,116
2018,24,15,white fir,Abies concolor,0,,Stable,0,,0,0,,,0,,0,0,,,0,26
2018,24,17,grand fir,Abies grandis,0.00124971191835767,2.74698772168996,Expand,8.69395231761192e-05,0.183293120021503,0.0454939025933775,0.0579456165721418,0.0511327421368184,0.0459818369886316,8.11789519512651e-07,3.60828854769944,0.000704994198243549,0.00100381520659736,0.010389379425695,0.00274970270892029,40,415
2018,24,19,subalpine fir,Abies lasiocarpa,0.00531813225436794,12.2878135133513,Expand,0,1.60229090003562e-07,0.0432797279075691,0.0953974240003749,0.0510204081632653,0.146338940981798,0,3.67323268913465e-14,-1.32104834955348e-18,0,-1.28533759572444e-18,-6.60790780284677e-18,1,8
2018,24,22,noble fir,Abies procera,0.00190190334898111,0.93376205857034,Expand,0.000680220573292226,0.547884826523121,0.203681797897536,0.222320450717551,0.0780472352958691,0.00704134017595767,1.02519790089092e-06,0.665099663542399,0.00482450656690504,0.0035445313046605,0.0146274651436692,4.77706887838881e-05,2,11
2018,24,42,Alaska yellow-cedar,Chamaecyparis nootkatensis,-0.00118627193283184,-10.4166666666667,Stable,,2.6201543058597e-07,0.0113882105551857,0,-0.104166666666667,-0.104166666666667,-2.88753022999594e-22,4.45292683043513e-14,0,0,0,2.31831498999645e-18,1,5
2018,24,81,incense-cedar,Calocedrus decurrens,0.00129311296274829,2.43952723437996,Expand,7.10298124236066e-05,0.178860219678686,0.0530067032876125,0.0660815211858874,0.00971093720805024,0.0189753239187718,1.1369697417125e-07,0.720933308127172,0.000222979934784467,0.000253047226594989,5.86605022434619e-05,7.31242672434473e-05,11,89
2018,24,93,Engelmann spruce,Picea engelmannii,0.00257948726089853,Inf,Expand,0,,0,0.024505128978536,Inf,Inf,0,,0,-2.06902750952516e-19,,,1,51
2018,24,98,Sitka spruce,Picea sitchensis,0.000959706431732918,2.0086436073677,Expand,0.000103776183658349,0.248775628150192,0.0477788308594275,0.0576100810325907,0.000760743069941649,0.00167669055057128,3.07182165805499e-07,1.76529084898265,0.000145234294983801,0.000158640005339271,0.000683395423016835,0.0010999010675198,8,112
2018,24,103,knobcone pine,Pinus attenuata,0,,Stable,0,,0,0,-0.0980392156862745,-0.0980392156862745,0,,0,0,0,3.77017836632224e-18,1,48
2018,24,108,lodgepole pine,Pinus contorta,0.00595278268991289,11.1715962764692,Expand,0.000562937625968411,1.17918069088775,0.0532849786422311,0.112437557994944,0.373635684911581,0.14110237960539,1.31639363261129e-05,57.7598339966322,0.000374203570830222,0.00178865930565622,0.140383922174958,0.0134951879701456,7,162
2018,24,119,western white pine,Pinus monticola,0.00068229119375802,3.75154411475996,Expand,3.9657254464565e-05,0.21531758031707,0.0181869431062702,0.0248981007363841,0.0232805800257722,0.0410667398538633,3.2984865121871e-08,0.972362957534974,1.38059999581791e-05,2.23815913782371e-05,0.000819770083812301,0.000152086887048784,7,83
2018,24,122,ponderosa pine,Pinus ponderosa,0.00558089656793199,25.0086369363193,Expand,0.000210942291902078,2.70961156285017,0.0223158766395101,0.0790662121867641,3.42044268488174,0.0916586107585989,4.41990808115486e-06,729.289550324126,0.000259268436505695,7.80476648631552e-05,14.5666346428819,0.0106035412678469,4,384
2018,24,202,Douglas-fir,Pseudotsuga menziesii,0.00762560660843464,3.07434962950072,Expand,8.76166554451618e-05,0.0423993208704683,0.248039667813353,0.323962375518004,0.00580042730235706,0.0361032715100845,5.0673964583525e-07,0.118666830333187,0.000292130547220904,0.000359293888612592,5.27805508632949e-05,2.83638688859958e-05,263,256
2018,24,212,giant sequoia,Sequoiadendron giganteum,,,Stable,,,,,,,,,,,,,0,4
2018,24,231,Pacific yew,Taxus brevifolia,0.00171243784515299,29.1618502335908,Expand,0.000167311598109968,4.12249115435454,0.00587218517150356,0.0225317846511549,0.426209762099061,0.0200458429995063,2.57655605986677e-06,1564.25289019687,6.42127695335707e-06,0.000172764967889849,0.371492572675679,0.000244332431933486,5,356
2018,24,242,western redcedar,Thuja plicata,0.00291870959071934,2.3272654451545,Expand,6.33223656711391e-05,0.0538502396847721,0.125413695150085,0.154527054776474,0.00341259794703383,0.0464027603337291,3.35662146967224e-07,0.242752318590441,0.000254739215871351,0.000323900184208362,5.47539014489178e-05,0.000305958653791069,132,324
2018,24,263,western hemlock,Tsuga heterophylla,0.0016550110051515,1.79248830630176,Expand,7.53448819858045e-05,0.0923772869804129,0.092330365522222,0.108819316638837,0.0517925965453666,0.00618290970645404,4.91476767327471e-07,0.738798297206038,0.000373128059124387,0.000409371538102204,0.00195779017780698,0.000140838552937743,100,335
2018,24,264,mountain hemlock,Tsuga mertensiana,0.000556883401085794,Inf,Stable,,,0,0.00545745733064078,Inf,Inf,-1.07507189905068e-22,,0,1.37609203078487e-20,,,1,8
2018,24,299,Unknown dead conifer,Tree evergreen,0,,Stable,0,,0,0,,,0,,0,0,,,0,30
2018,24,312,bigleaf maple,Acer macrophyllum,0.00188259807515857,1.63506618838056,Expand,8.89848947055089e-05,0.0867534401361225,0.115138952082617,0.133561427480703,-0.00159608432811364,0.0233717886164982,3.92827106620516e-07,0.373372456582942,0.000154833160382199,0.000155680100450066,0.000304460579158488,2.39798009223287e-05,140,193
2018,24,321,Rocky Mountain maple,Acer glabrum,-0.00688900537547578,-9.80392156862745,Decline,1.31461586761076e-09,1.8708638121855e-06,0.070267854829853,0,-0.0980392156862745,-0.0980392156862745,2.14089830268836e-20,4.33593384184887e-14,0,0,0,6.02869765542806e-18,1,2
2018,24,351,red alder,Alnus rubra,0.000681553201176854,0.79785922106734,Expand,5.66979391191843e-05,0.0698530597662571,0.0854227391475282,0.09219648421712,-0.0199793338427449,0.00561638643097032,1.95463455049631e-07,0.296689306276159,7.70649255162878e-05,7.59157107741925e-05,0.000128537230266263,2.87633735441906e-05,159,236
2018,24,361,Pacific madrone,Arbutus menziesii,0.000337164039850353,2.46045988616462,Expand,2.17745557782867e-05,0.224289586769484,0.0137032935081062,0.0169964086047378,0.0405475990530665,0.0318944779319455,4.17887516719408e-08,4.43382973933964,3.10083344503826e-05,2.62496342233688e-05,0.00467556884189885,0.00241746603171306,15,341
